Key = key-491, Value = value-4486107052995075165, Score = 2
Key = key-372, Value = value-2696579607019445169, Score = 2
Key = key-603, Value = value-4848711838952635504, Score = 2
Key = key-130, Value = value-5453999021357244114, Score = 2
Key = key-131, Value = value-6027398386457149800, Score = 2
Key = key-600, Value = value-3531918590500299948, Score = 2
Key = key-378, Value = value-7655169140987507681, Score = 2
Key = key-136, Value = value-7215333849861571528, Score = 2
Key = key-601, Value = value-2310969614491843668, Score = 2
Key = key-379, Value = value-6017497215361859546, Score = 2
Key = key-134, Value = value-6244161890532616518, Score = 2
Key = key-849, Value = value-5066654966740683592, Score = 2
Key = key-148, Value = value-6987357647079993983, Score = 2
Key = key-846, Value = value-396138500228204476, Score = 2
Key = key-139, Value = value-766885520001735819, Score = 2
Key = key-605, Value = value-5791111751278636731, Score = 2
Key = key-387, Value = value-2269890719638907105, Score = 2
Key = key-590, Value = value-6537490697004782560, Score = 2
Key = key-619, Value = value-268641761775901875, Score = 2
Key = key-591, Value = value-5263237116006344447, Score = 2
Key = key-146, Value = value-7834682998136393029, Score = 2
Key = key-610, Value = value-4458384468063728659, Score = 2
Key = key-341, Value = value-4281676873323652504, Score = 2
Key = key-852, Value = value-7298091457602614419, Score = 2
Key = key-388, Value = value-2406766767054846195, Score = 2
Key = key-149, Value = value-4786957873875345800, Score = 2
Key = key-70, Value = value-121095488579612503, Score = 2
Key = key-484, Value = value-6260086411127089621, Score = 2
Key = key-242, Value = value-5075656090188594391, Score = 2
Key = key-614, Value = value-1847769133422941183, Score = 2
Key = key-611, Value = value-5349433715654581476, Score = 2
Key = key-160, Value = value-4264236225028204273, Score = 2
Key = key-853, Value = value-2806698709512972097, Score = 2
Key = key-584, Value = value-5866549005172789193, Score = 2
Key = key-154, Value = value-5065486803768829894, Score = 2
Key = key-854, Value = value-7264125022439292719, Score = 2
Key = key-396, Value = value-3380484221569944383, Score = 2
Key = key-87, Value = value-6422265751774336148, Score = 2
Key = key-581, Value = value-6086766285951245908, Score = 2
Key = key-859, Value = value-637589387620960398, Score = 2
Key = key-397, Value = value-3469412352145697612, Score = 2
Key = key-618, Value = value-7386891352824105404, Score = 2
Key = key-86, Value = value-8348888515099065076, Score = 2
Key = key-340, Value = value-1391984123707264888, Score = 2
Key = key-155, Value = value-9186582223417809791, Score = 2
Key = key-858, Value = value-1368498056190342684, Score = 2
Key = key-616, Value = value-3846781929583854027, Score = 2
Key = key-104, Value = value-2868605521645753255, Score = 2
Key = key-88, Value = value-5223686850491739988, Score = 2
Key = key-822, Value = value-4891897417686041488, Score = 2
Key = key-823, Value = value-1690820217171220922, Score = 2
Key = key-820, Value = value-9108710815893865319, Score = 2
Key = key-821, Value = value-8923431864553546880, Score = 2
Key = key-82, Value = value-4182179861880705139, Score = 2
Key = key-826, Value = value-1319956580092618783, Score = 2
Key = key-159, Value = value-7619306782652802546, Score = 2
Key = key-101, Value = value-9769836426089404, Score = 2
Key = key-482, Value = value-5506475605833043397, Score = 2
Key = key-585, Value = value-2197683933196869747, Score = 2
Key = key-824, Value = value-2060359902459979853, Score = 2
Key = key-825, Value = value-4974983406263854871, Score = 2
Key = key-343, Value = value-3932054811725651379, Score = 2
Key = key-241, Value = value-6815545263702595344, Score = 2
Key = key-839, Value = value-6308690826185449765, Score = 2
Key = key-102, Value = value-4867177425575546648, Score = 2
Key = key-483, Value = value-2208272650134605726, Score = 2
Key = key-107, Value = value-3794495781213693143, Score = 2
Key = key-108, Value = value-6388971396567953393, Score = 2
Key = key-105, Value = value-1578787047772969024, Score = 2
Key = key-835, Value = value-7214687664689182148, Score = 2
Key = key-347, Value = value-1616280958012063939, Score = 2
Key = key-247, Value = value-2131184757056115330, Score = 2
Key = key-348, Value = value-505485336285753322, Score = 2
Key = key-244, Value = value-7557784427622025430, Score = 2
Key = key-880, Value = value-2823571639919136825, Score = 2
Key = key-881, Value = value-171823511553772490, Score = 2
Key = key-248, Value = value-883704972206930804, Score = 2
Key = key-594, Value = value-6385544904729016626, Score = 2
Key = key-260, Value = value-1800156352644841821, Score = 2
Key = key-401, Value = value-8382179397251016059, Score = 2
Key = key-261, Value = value-217551101619386684, Score = 2
Key = key-643, Value = value-6318590211609575303, Score = 2
Key = key-111, Value = value-2369192835690469188, Score = 2
Key = key-496, Value = value-5067302666142161370, Score = 2
Key = key-350, Value = value-7918707137849569106, Score = 2
Key = key-592, Value = value-4648175181503721088, Score = 2
Key = key-882, Value = value-6731193460636559950, Score = 2
Key = key-351, Value = value-3035521116704460376, Score = 2
Key = key-493, Value = value-6393101232027363612, Score = 2
Key = key-593, Value = value-2019856276257077531, Score = 2
Key = key-251, Value = value-326618517399084128, Score = 2
Key = key-883, Value = value-310305159014664155, Score = 2
Key = key-252, Value = value-3459337844974337892, Score = 2
Key = key-598, Value = value-8408640739009725289, Score = 2
Key = key-494, Value = value-5658527973190296735, Score = 2
Key = key-599, Value = value-1809156988021947272, Score = 2
Key = key-404, Value = value-8021751078111220246, Score = 2
Key = key-257, Value = value-1634759510735511892, Score = 2
Key = key-357, Value = value-684047289270707615, Score = 2
Key = key-258, Value = value-5170974438862340171, Score = 2
Key = key-405, Value = value-2522128939391371974, Score = 2
Key = key-596, Value = value-6844425246385462209, Score = 2
Key = key-255, Value = value-4383707027638723557, Score = 2
Key = key-256, Value = value-5052810394187390373, Score = 2
Key = key-402, Value = value-427441176364223540, Score = 2
Key = key-886, Value = value-300995684200513942, Score = 2
Key = key-470, Value = value-4858170694801594928, Score = 2
Key = key-355, Value = value-5803073830029081473, Score = 2
Key = key-887, Value = value-2213658517160517329, Score = 2
Key = key-118, Value = value-2847343273724448794, Score = 2
Key = key-156, Value = value-7917777459271029249, Score = 2
Key = key-119, Value = value-8024166167754579630, Score = 2
Key = key-398, Value = value-3206809084556659390, Score = 2
Key = key-358, Value = value-5041146705261881660, Score = 2
Key = key-84, Value = value-7131634816361640373, Score = 2
Key = key-116, Value = value-3009073493110956868, Score = 2
Key = key-461, Value = value-5491171762371108977, Score = 2
Key = key-157, Value = value-3023658432194458385, Score = 2
Key = key-117, Value = value-9011131900156462971, Score = 2
Key = key-224, Value = value-5020401548463072407, Score = 2
Key = key-80, Value = value-7680246220928240028, Score = 2
Key = key-467, Value = value-8450836403401650407, Score = 2
Key = key-562, Value = value-9114195946588145786, Score = 2
Key = key-191, Value = value-3783942756626909417, Score = 2
Key = key-225, Value = value-2881189960585378118, Score = 2
Key = key-560, Value = value-7999925890963309551, Score = 2
Key = key-194, Value = value-3871703199217366502, Score = 2
Key = key-464, Value = value-1102022309781766356, Score = 2
Key = key-323, Value = value-7294255772539443125, Score = 2
Key = key-228, Value = value-7510976324951675945, Score = 2
Key = key-188, Value = value-8308347904731520565, Score = 2
Key = key-563, Value = value-7728049857227877984, Score = 2
Key = key-185, Value = value-6951708662177436892, Score = 2
Key = key-409, Value = value-5784833661902662161, Score = 2
Key = key-186, Value = value-4076000646457462940, Score = 2
Key = key-226, Value = value-311026687536044462, Score = 2
Key = key-189, Value = value-681544932785533785, Score = 2
Key = key-227, Value = value-4715931133184975717, Score = 2
Key = key-648, Value = value-920585932431388088, Score = 2
Key = key-406, Value = value-6057466696452323043, Score = 2
Key = key-480, Value = value-611502364899635960, Score = 2
Key = key-481, Value = value-7029511793904159208, Score = 2
Key = key-197, Value = value-974767917027400033, Score = 2
Key = key-473, Value = value-7157080440091477713, Score = 2
Key = key-18, Value = value-6098022366020030424, Score = 2
Key = key-231, Value = value-935627568588627519, Score = 2
Key = key-17, Value = value-8227149704981613866, Score = 2
Key = key-474, Value = value-4003265070616339391, Score = 2
Key = key-650, Value = value-7100454061325932925, Score = 2
Key = key-892, Value = value-4707587345023503877, Score = 2
Key = key-890, Value = value-782023096321481178, Score = 2
Key = key-16, Value = value-8389353691694940267, Score = 2
Key = key-653, Value = value-153084727414756855, Score = 2
Key = key-411, Value = value-4722469969759528362, Score = 2
Key = key-235, Value = value-478490745584398608, Score = 2
Key = key-10, Value = value-500519280481445352, Score = 2
Key = key-322, Value = value-7979443804579590982, Score = 2
Key = key-236, Value = value-3131736642381601211, Score = 2
Key = key-478, Value = value-5703986515380262400, Score = 2
Key = key-28, Value = value-8690526465084345465, Score = 2
Key = key-328, Value = value-1999892415535414928, Score = 2
Key = key-233, Value = value-8727908180649162086, Score = 2
Key = key-476, Value = value-7797628911552782176, Score = 2
Key = key-24, Value = value-412615600558300638, Score = 2
Key = key-895, Value = value-7759049544577010919, Score = 2
Key = key-27, Value = value-240065696628116342, Score = 2
Key = key-654, Value = value-7843464637863155645, Score = 2
Key = key-326, Value = value-7392959964777492406, Score = 2
Key = key-237, Value = value-1345678264971357752, Score = 2
Key = key-479, Value = value-8390041080679294615, Score = 2
Key = key-329, Value = value-4429210611685372172, Score = 2
Key = key-238, Value = value-7475784006260651183, Score = 2
Key = key-23, Value = value-1967842493194659383, Score = 2
Key = key-22, Value = value-1324715559328692019, Score = 2
Key = key-690, Value = value-8198487095212046107, Score = 2
Key = key-330, Value = value-4801464918630780086, Score = 2
Key = key-809, Value = value-2286378113754026723, Score = 2
Key = key-806, Value = value-1660403452244303868, Score = 2
Key = key-683, Value = value-2748930995111683851, Score = 2
Key = key-807, Value = value-8407989746665732210, Score = 2
Key = key-334, Value = value-5680307370875065310, Score = 2
Key = key-680, Value = value-5685336124891169445, Score = 2
Key = key-681, Value = value-2044089125427246387, Score = 2
Key = key-59, Value = value-7240273834346119624, Score = 2
Key = key-686, Value = value-3882330822389823115, Score = 2
Key = key-202, Value = value-8998488330571370690, Score = 2
Key = key-203, Value = value-8016673851467678935, Score = 2
Key = key-687, Value = value-6956266045049316469, Score = 2
Key = key-442, Value = value-4166862516704463416, Score = 2
Key = key-684, Value = value-2396554554432776476, Score = 2
Key = key-53, Value = value-5318216284417078758, Score = 2
Key = key-55, Value = value-1219579286825466637, Score = 2
Key = key-448, Value = value-5347876169968733932, Score = 2
Key = key-50, Value = value-2505437333585617014, Score = 2
Key = key-51, Value = value-7757071819761506441, Score = 2
Key = key-688, Value = value-2595371161442651110, Score = 2
Key = key-801, Value = value-8520737532862267536, Score = 2
Key = key-804, Value = value-400741975684421937, Score = 2
Key = key-447, Value = value-4969721484401626695, Score = 2
Key = key-805, Value = value-3943813240429280193, Score = 2
Key = key-802, Value = value-2346746094418636329, Score = 2
Key = key-689, Value = value-7913362475094627909, Score = 2
Key = key-69, Value = value-8293530062115929309, Score = 2
Key = key-452, Value = value-8563026746344125165, Score = 2
Key = key-66, Value = value-3304634469568821349, Score = 2
Key = key-213, Value = value-6962304003853044428, Score = 2
Key = key-577, Value = value-3775520542017443316, Score = 2
Key = key-455, Value = value-2817279472750547326, Score = 2
Key = key-332, Value = value-2886568236157585240, Score = 2
Key = key-214, Value = value-4425273482597243151, Score = 2
Key = key-575, Value = value-26582053998817608, Score = 2
Key = key-453, Value = value-8812437336031603404, Score = 2
Key = key-61, Value = value-5340396964280263448, Score = 2
Key = key-211, Value = value-874135874267532534, Score = 2
Key = key-454, Value = value-8478876718042974715, Score = 2
Key = key-899, Value = value-2241916019757558706, Score = 2
Key = key-416, Value = value-7878985480227621147, Score = 2
Key = key-336, Value = value-3870536909716723519, Score = 2
Key = key-337, Value = value-7185364985871008960, Score = 2
Key = key-898, Value = value-5432852845891311959, Score = 2
Key = key-659, Value = value-8780358450482727928, Score = 2
Key = key-780, Value = value-7533518938240283974, Score = 2
Key = key-418, Value = value-7574489331943466712, Score = 2
Key = key-5, Value = value-3602276787127988460, Score = 2
Key = key-620, Value = value-7143911926943444605, Score = 2
Key = key-862, Value = value-6259765597977343554, Score = 2
Key = key-301, Value = value-8360626475500461045, Score = 2
Key = key-621, Value = value-106283077922915106, Score = 2
Key = key-786, Value = value-5834928226412863032, Score = 2
Key = key-62, Value = value-3425964647406337974, Score = 2
Key = key-302, Value = value-2185094818165338430, Score = 2
Key = key-860, Value = value-7451684395983413751, Score = 2
Key = key-4, Value = value-6757960205327677505, Score = 2
Key = key-624, Value = value-7209534531466109065, Score = 2
Key = key-3, Value = value-2524944589247495573, Score = 2
Key = key-866, Value = value-1648272967529034743, Score = 2
Key = key-815, Value = value-4416109481824805906, Score = 2
Key = key-783, Value = value-1736840054087287998, Score = 2
Key = key-867, Value = value-1323251201571603776, Score = 2
Key = key-541, Value = value-3631496007788878775, Score = 2
Key = key-542, Value = value-1741388923560552827, Score = 2
Key = key-622, Value = value-2744536223465398656, Score = 2
Key = key-864, Value = value-6744290526544489122, Score = 2
Key = key-789, Value = value-6858279502693640056, Score = 2
Key = key-628, Value = value-7748772184356961086, Score = 2
Key = key-548, Value = value-5456868575705159429, Score = 2
Key = key-629, Value = value-6614745400744484271, Score = 2
Key = key-814, Value = value-816392496696266511, Score = 2
Key = key-306, Value = value-1815543803231892417, Score = 2
Key = key-39, Value = value-4144815734124764336, Score = 2
Key = key-627, Value = value-2968742749427664797, Score = 2
Key = key-303, Value = value-4267381741380793460, Score = 2
Key = key-35, Value = value-3404037810159296587, Score = 2
Key = key-787, Value = value-1402161920462057208, Score = 2
Key = key-38, Value = value-410916539401152604, Score = 2
Key = key-873, Value = value-8268659515326029122, Score = 2
Key = key-545, Value = value-9113323394333446726, Score = 2
Key = key-631, Value = value-2527434406527381199, Score = 2
Key = key-37, Value = value-3986488494301475861, Score = 2
Key = key-788, Value = value-5994184687920766945, Score = 2
Key = key-32, Value = value-7867887017927384874, Score = 2
Key = key-546, Value = value-8980252350686866061, Score = 2
Key = key-630, Value = value-5360367798788195387, Score = 2
Key = key-34, Value = value-2847756797554149695, Score = 2
Key = key-872, Value = value-9058399934127824901, Score = 2
Key = key-30, Value = value-98523206557537823, Score = 2
Key = key-877, Value = value-8369301908992345368, Score = 2
Key = key-308, Value = value-5228469421262333057, Score = 2
Key = key-878, Value = value-4718770145407121674, Score = 2
Key = key-46, Value = value-7315051023919570054, Score = 2
Key = key-49, Value = value-7221928882359981440, Score = 2
Key = key-48, Value = value-1375394174210196708, Score = 2
Key = key-876, Value = value-948479998783462470, Score = 2
Key = key-634, Value = value-2721556129335991723, Score = 2
Key = key-43, Value = value-5787900944788316068, Score = 2
Key = key-790, Value = value-3097266214868356138, Score = 2
Key = key-639, Value = value-1554408527528574686, Score = 2
Key = key-42, Value = value-734827695567192783, Score = 2
Key = key-791, Value = value-3640432472176456427, Score = 2
Key = key-217, Value = value-1881892138045810372, Score = 2
Key = key-44, Value = value-7422029042696220395, Score = 2
Key = key-459, Value = value-5762975946683902664, Score = 2
Key = key-554, Value = value-2793482534935679522, Score = 2
Key = key-218, Value = value-1333690294639229472, Score = 2
Key = key-457, Value = value-1846280240499142026, Score = 2
Key = key-760, Value = value-6133953377774581971, Score = 2
Key = key-962, Value = value-1611046721930660353, Score = 2
Key = key-699, Value = value-970520737839149320, Score = 2
Key = key-794, Value = value-8992964363557361322, Score = 2
Key = key-552, Value = value-1178901956077232463, Score = 2
Key = key-216, Value = value-7543190394394612706, Score = 2
Key = key-458, Value = value-8441584382482777687, Score = 2
Key = key-310, Value = value-7992530015211437920, Score = 2
Key = key-764, Value = value-2021134604316089700, Score = 2
Key = key-966, Value = value-290225737904241101, Score = 2
Key = key-311, Value = value-2218654961361574140, Score = 2
Key = key-761, Value = value-5106192532938088663, Score = 2
Key = key-661, Value = value-6637626392653206725, Score = 2
Key = key-762, Value = value-6094675946288224923, Score = 2
Key = key-316, Value = value-2551624310857529774, Score = 2
Key = key-964, Value = value-7868811316562130059, Score = 2
Key = key-558, Value = value-5222623958376761864, Score = 2
Key = key-722, Value = value-2561248237412600969, Score = 2
Key = key-665, Value = value-2427222757568590063, Score = 2
Key = key-767, Value = value-1634159039443753030, Score = 2
Key = key-969, Value = value-4870716345765316073, Score = 2
Key = key-559, Value = value-3279456917914815141, Score = 2
Key = key-526, Value = value-3478950746939961249, Score = 2
Key = key-727, Value = value-5308867309226370145, Score = 2
Key = key-765, Value = value-147648774493204991, Score = 2
Key = key-420, Value = value-6756496747232503180, Score = 2
Key = key-725, Value = value-5307964357463188475, Score = 2
Key = key-556, Value = value-8769434368911260789, Score = 2
Key = key-314, Value = value-3506033908031922313, Score = 2
Key = key-668, Value = value-8411618164005811959, Score = 2
Key = key-524, Value = value-4001022507133193875, Score = 2
Key = key-968, Value = value-6417976609444500229, Score = 2
Key = key-799, Value = value-6115927748260230180, Score = 2
Key = key-426, Value = value-8636685155224802347, Score = 2
Key = key-730, Value = value-7000151458213666817, Score = 2
Key = key-669, Value = value-5611492050583530082, Score = 2
Key = key-972, Value = value-5511993499550183318, Score = 2
Key = key-424, Value = value-1008954648041924784, Score = 2
Key = key-528, Value = value-8029983700409370299, Score = 2
Key = key-319, Value = value-5016409442363455304, Score = 2
Key = key-666, Value = value-3360402845532792588, Score = 2
Key = key-731, Value = value-7338611732002350788, Score = 2
Key = key-973, Value = value-8286815891074647812, Score = 2
Key = key-429, Value = value-1895065021156725183, Score = 2
Key = key-971, Value = value-2686597885761661252, Score = 2
Key = key-775, Value = value-7973018153446053419, Score = 2
Key = key-430, Value = value-2612796444868131698, Score = 2
Key = key-533, Value = value-8110486988354670972, Score = 2
Key = key-672, Value = value-3947389616786397405, Score = 2
Key = key-977, Value = value-4546450097900499846, Score = 2
Key = key-670, Value = value-2428768708533406056, Score = 2
Key = key-735, Value = value-3009555974278746426, Score = 2
Key = key-773, Value = value-8338355639944543300, Score = 2
Key = key-433, Value = value-30520091375269664, Score = 2
Key = key-531, Value = value-2616133893003376742, Score = 2
Key = key-676, Value = value-2812302777428800322, Score = 2
Key = key-974, Value = value-3949442090293305985, Score = 2
Key = key-434, Value = value-5098596988224951436, Score = 2
Key = key-673, Value = value-3630034720861997559, Score = 2
Key = key-975, Value = value-3148751324466975755, Score = 2
Key = key-779, Value = value-5611164869419220389, Score = 2
Key = key-738, Value = value-4706535822324279205, Score = 2
Key = key-431, Value = value-4342038134278796909, Score = 2
Key = key-537, Value = value-631518499882169631, Score = 2
Key = key-674, Value = value-7385717729398529208, Score = 2
Key = key-437, Value = value-4768677430644264430, Score = 2
Key = key-679, Value = value-3962083643085027134, Score = 2
Key = key-777, Value = value-8252617686711279558, Score = 2
Key = key-539, Value = value-1113299460044312095, Score = 2
Key = key-509, Value = value-5961409405107813020, Score = 2
Key = key-436, Value = value-7840917845985508266, Score = 2
Key = key-708, Value = value-4492105592314429064, Score = 2
Key = key-940, Value = value-8931615450221327012, Score = 2
Key = key-741, Value = value-368183441193836816, Score = 2
Key = key-439, Value = value-2172870714962896129, Score = 2
Key = key-701, Value = value-6551573068623192867, Score = 2
Key = key-742, Value = value-5513948246638756168, Score = 2
Key = key-943, Value = value-4045740318573315438, Score = 2
Key = key-702, Value = value-1273923501595273707, Score = 2
Key = key-500, Value = value-8465266538055945689, Score = 2
Key = key-944, Value = value-8239679909915874489, Score = 2
Key = key-740, Value = value-8133201175256114814, Score = 2
Key = key-700, Value = value-5993242357564419552, Score = 2
Key = key-745, Value = value-4695523632867876733, Score = 2
Key = key-947, Value = value-9173451502213578295, Score = 2
Key = key-987, Value = value-4722136288596397808, Score = 2
Key = key-705, Value = value-4948126404554711608, Score = 2
Key = key-503, Value = value-6035874716199704913, Score = 2
Key = key-706, Value = value-5054215485732818326, Score = 2
Key = key-948, Value = value-7434988357862380728, Score = 2
Key = key-945, Value = value-7107623463471752564, Score = 2
Key = key-988, Value = value-6915869321387052866, Score = 2
Key = key-704, Value = value-1581779554188007821, Score = 2
Key = key-504, Value = value-4482226751714742706, Score = 2
Key = key-501, Value = value-2660372081100305841, Score = 2
Key = key-743, Value = value-972929840299606664, Score = 2
Key = key-950, Value = value-692003718007934651, Score = 2
Key = key-744, Value = value-3409955313857197218, Score = 2
Key = key-508, Value = value-5300119025415658291, Score = 2
Key = key-955, Value = value-8523564920115221917, Score = 2
Key = key-505, Value = value-1519850664342822837, Score = 2
Key = key-710, Value = value-3870455920844849232, Score = 2
Key = key-952, Value = value-6641726902087272594, Score = 2
Key = key-711, Value = value-3519733629290838734, Score = 2
Key = key-506, Value = value-645345890051384634, Score = 2
Key = key-953, Value = value-8232528291841928416, Score = 2
Key = key-991, Value = value-3941533407969851618, Score = 2
Key = key-716, Value = value-4438374823492888728, Score = 2
Key = key-753, Value = value-7159143649282712852, Score = 2
Key = key-956, Value = value-7699397829191170106, Score = 2
Key = key-511, Value = value-9222369779302544163, Score = 2
Key = key-714, Value = value-5911602911490889927, Score = 2
Key = key-750, Value = value-6108922933093886147, Score = 2
Key = key-992, Value = value-6723651403537288199, Score = 2
Key = key-715, Value = value-3018455799918574361, Score = 2
Key = key-751, Value = value-8961466315251499555, Score = 2
Key = key-756, Value = value-3157416424049264277, Score = 2
Key = key-514, Value = value-1798125470969999153, Score = 2
Key = key-757, Value = value-1127910767179877969, Score = 2
Key = key-999, Value = value-4510241821754715365, Score = 2
Key = key-515, Value = value-5053455942225465023, Score = 2
Key = key-754, Value = value-7156605720310744663, Score = 2
Key = key-512, Value = value-1135323310434622873, Score = 2
Key = key-518, Value = value-927631786900134981, Score = 2
Key = key-758, Value = value-3505146579836007935, Score = 2
Key = key-759, Value = value-1406676691523601956, Score = 2
